date,open_1,close_1,high_1,low_1,volume_1,H-L-1,O-C-1,avg_price_5,avg_price_30,avg_price_365,ratio_avg_price_5_30,ratio_avg_price_5_365,ratio_avg_price_30_365,avg_volume_5,avg_volume_30,avg_volume_365,ratio_avg_volume_5_30,ratio_avg_volume_5_365,ratio_avg_volume_30_365,std_price_5,std_price_30,std_price_365,ratio_std_price_5_30,ratio_std_price_5_365,ratio_std_price_30_365,std_volume_5,std_volume_30,std_volume_365,ratio_std_volume_5_30,ratio_std_volume_5_365,ratio_std_volume_30_365,return_1,return_5,return_30,return_365,moving_avg_5,moving_avg_30,moving_avg_365,Price_Rise
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2006-01-04,49.33000183105469,50.689998626708984,50.900001525878906,48.619998931884766,4348200.0,2.2800025939941406,1.3599967956542969,,,,,,,,,,,,,,,,,,,,,,,,,-0.00789105784214561,,,,,,,0
2006-01-05,50.4900016784668,50.290000915527344,50.939998626708984,49.970001220703125,3368600.0,0.9699974060058594,-0.20000076293945312,,,,,,,,,,,,,,,,,,,,,,,,,0.004374575502104072,,,,,,,1
2006-01-06,50.290000915527344,50.5099983215332,51.0099983215332,50.119998931884766,4254500.0,0.8899993896484375,0.21999740600585938,,,,,,,,,,,,,,,,,,,,,,,,,0.029499143297963437,,,,,,,1
2006-01-09,50.900001525878906,52.0,52.0,50.619998931884766,4008600.0,1.3800010681152344,1.0999984741210938,,,,,,,,,,,,,,,,,,,,,,,,,0.019423044644869325,,,,,,,1
2006-01-10,52.45000076293945,53.0099983215332,53.349998474121094,52.29999923706055,5027100.0,1.0499992370605469,0.55999755859375,51.29999923706055,,,,,,4201400.0,,,,,,1.1651605831039284,,,,,,599349.234586981,,,,,,-0.004527407496107028,0.04103377169867817,,,,,,0
2006-01-11,52.43000030517578,52.77000045776367,52.9900016784668,52.20000076293945,2444400.0,0.7900009155273438,0.3400001525878906,51.715999603271484,,,,,,3820640.0,,,,,,1.260348965413704,,,,,,971787.7715838989,,,,,,0.007959032884251593,0.057665493306567894,,,0.00817565962133684,,,1
2006-01-12,52.439998626708984,53.189998626708984,53.70000076293945,52.16999816894531,4753800.0,1.5300025939941406,0.75,52.295999145507814,,,,,,4097680.0,,,,,,1.0967134513117496,,,,,,1007494.1076750772,,,,,,-0.01071629459561585,0.0417739196291369,,,0.01134567776661628,,,0
2006-01-13,53.529998779296875,52.619998931884766,53.70000076293945,52.310001373291016,4799800.0,1.3899993896484375,-0.9099998474121094,52.71799926757812,,,,,,4206740.0,,,,,,0.45713181369000433,,,,,,1057010.7700491988,,,,,,-0.011402479785257658,0.0003846241877629719,,,0.008327503747072296,,,0
2006-01-17,52.25,52.02000045776367,52.54999923706055,51.369998931884766,3806900.0,1.1800003051757812,-0.22999954223632812,52.72199935913086,,,,,,4166400.0,,,,,,0.44929872216254113,,,,,,1070229.304868821,,,,,,-0.00403689124614981,-0.02263718140422455,,,0.00014717913042807673,,,0
